IBGE;NU_IDENTIFICADOR;q55_3;q55_9;q55_10;q55_11;q55_12;q55_13;q55_14;IBGE7;UF;Regiao;Município;areaKm2;Pop_total_2022;Porte_pop2022;Q_incompleto;q7;DataCenso;DataCenso_2023;d55_2_Faixas_etarias;d55_9;d55_11;d55_9bin1;d55_9bin2;d55_9bin3;d55_10bin1;d55_10bin2;d55_10bin3;d55_10bin4;d55_10bin5;d55_11bin1;d55_11bin2;d55_11bin3;d55_11bin4;d55_9bin1_sum;d55_9bin2_sum;d55_9bin3_sum;d55_10bin1_sum;d55_10bin2_sum;d55_10bin3_sum;d55_10bin4_sum;d55_10bin5_sum;d55_11bin1_sum;d55_11bin2_sum;d55_11bin3_sum;d55_11bin4_sum;nu_trabalhadores
260960;2,6096E+12;Feminino;Médio Completo;Sem formação profissional;Empregada(o) Privada(o) (CLT);Educador(a) Social;De 41 a 44 horas semanais;02/03/2020;2609600;Pernambuco;Região Nordeste;Olinda;41,681;349976;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;3;21;7;1;2;;;2;;;;31;31
314380;3,1438E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/01/2021;3143807;Minas gerais;Região Sudeste;Munhoz;191,564;7547;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;1;;1;;;;;;;1;1
353650;3,5365E+12;Feminino;Médio Incompleto;Sem formação profissional;Servidor(a) Estatutária(o);Apoio Administrativo;De 31 a 40 horas semanais;10/10/2016;3536505;São Paulo;Região Sudeste;Paulínia;138,777;110537;Grande;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;Nível fundamental;Servidor Estatutário;Nível fundamental;;;;;;;;Servidor Estatutário;;;;1;;3;1;1;;;1;4;;;;4
353660;3,5366E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 41 a 44 horas semanais;08/10/2018;3536604;São Paulo;Região Sudeste;Paulo de Faria;737,986;7400;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;3;1;1;;;1;2;;1;;3
353660;3,5366E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;01/10/2021;3536604;São Paulo;Região Sudeste;Paulo de Faria;737,986;7400;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;Psicólogo;Servidor Estatutário;;;;;;3;1;1;;;1;2;;1;;3
354340;3,5434E+12;Feminino;Médio Completo;Profissional de nível médio;Empregada(o) Privada(o) (CLT);Cozinheiro(a);De 31 a 40 horas semanais;01/02/2018;3543402;São Paulo;Região Sudeste;Ribeirão Preto;650,916;698642;Grande;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;;2;5;;1;;;2;;;;7;7
355030;3,5503E+12;Feminino;Superior Completo;Psicóloga(o);Empregada(o) Pública(o) (CLT);Técnico(a) de nível superior;De 41 a 44 horas semanais;03/02/2020;3550308;São Paulo;Região Sudeste;São Paulo;1521,11;11451999;Metrópole;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Empregado Público (CLT);;;Nível Superior;;;;;Psicólogo;;Empregado Público (CLT);;;1;7;39;;20;;1;15;;19;;28;47
411290;4,1129E+12;Masculino;Especialização;Assistente Social;Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;21/07/2020;4112900;Paraná;Região Sul;Jundiaí do Sul;320,816;3333;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;2;;1;;;1;2;;;;2
430040;4,3004E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 11 a 20 horas semanais;04/03/2019;4300406;Rio Grande do Sul;Região Sul;Alegrete;7803,954;72409;Médio;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;Psicólogo;Servidor Estatutário;;;;;;2;;1;;;1;2;;;;2
430040;4,3004E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 11 a 20 horas semanais;15/10/2020;4300406;Rio Grande do Sul;Região Sul;Alegrete;7803,954;72409;Médio;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;2;;1;;;1;2;;;;2
