IBGE;NU_IDENTIFICADOR;q48_3;q48_9;q48_10;q48_11;q48_12;q48_13;IBGE7;UF;Regiao;Município;areaKm2;Pop_total_2022;Porte_pop2022;Q_incompleto;q7;DataCenso;DataCenso_2023;d48_2_Faixas_etarias;d48_9;d48_11;d48_9bin1;d48_9bin2;d48_9bin3;d48_10bin1;d48_10bin2;d48_10bin3;d48_10bin4;d48_10bin5;d48_11bin1;d48_11bin2;d48_11bin3;d48_11bin4;d48_9bin1_sum;d48_9bin2_sum;d48_9bin3_sum;d48_10bin1_sum;d48_10bin2_sum;d48_10bin3_sum;d48_10bin4_sum;d48_10bin5_sum;d48_11bin1_sum;d48_11bin2_sum;d48_11bin3_sum;d48_11bin4_sum;nu_familias_acolhedoras
25;2,506E+12;Feminino;Médio Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;25/09/2023;25;Paraíba;Região Nordeste;;;;;completo;Estadual;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;6;4;2;1;;;1;;;;;12;12
25;2,506E+12;Feminino;Superior Completo;Pedagoga(o);Sem Vínculo;Família Acolhedora;19/09/2023;25;Paraíba;Região Nordeste;;;;;completo;Estadual;31.08.2023;31/ago/23;51 a 60 anos;2;Outros vínculos não permanentes;;;Nível Superior;Pedagogo;;;;;;;;Outros vínculos não permanentes;6;4;2;1;;;1;;;;;12;12
291270;2,9127E+12;Feminino;Médio Completo;Profissional de nível médio;Outro vínculo não permanente;Família Acolhedora;01/07/2022;2912707;Bahia;Região Nordeste;Ibirapitanga;472,694;BA;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;3;2;;;;;;;;;;5;5
311910;3,1191E+12;Feminino;Fundamental Completo;Sem formação profissional;Voluntária(o);Família Acolhedora;04/10/2022;3119104;Minas gerais;Região Sudeste;Corinto;2525,397;MG;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;0;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;7;5;1;;;;;;;;;13;13
330350;3,3035E+12;Feminino;Médio Completo;Profissional de nível médio;Servidor(a) Estatutário(a);Família Acolhedora;01/04/1998;3303500;Rio de Janeiro;Região Sudeste;Nova Iguaçu;520,807;RJ;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Servidor Estatutário;;1;;;;;;;Servidor Estatutário;;;;;5;;;;;;;2;;;3;5
351040;3,5104E+12;Feminino;Superior Completo;Profissional de nível médio;Voluntária(o);Família Acolhedora;08/09/2018;3510401;São Paulo;Região Sudeste;Capivari;322,878;SP;Médio;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;16;17;10;;;;;;;;;43;43
353440;3,5344E+12;Feminino;Especialização;Advogada(o);Sem Vínculo;Família Acolhedora;02/10/2020;3534401;São Paulo;Região Sudeste;Osasco;64,954;SP;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;2;Outros vínculos não permanentes;;;Nível Superior;;;;Advogado;;;;;Outros vínculos não permanentes;1;22;33;2;;;5;;;;;56;56
355030;3,5503E+12;Feminino;Superior Incompleto;Outra formação de nível superior;Voluntária(o);Família Acolhedora;23/08/2021;3550308;São Paulo;Região Sudeste;São Paulo;1521,11;SP;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;3;13;15;2;;;;2;;;;31;31
410180;4,1018E+12;Feminino;Médio Completo;Profissional de nível médio;Sem Vínculo;Família Acolhedora;02/01/2023;4101804;Paraná;Região Sul;Araucária;469,24;PR;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;5;6;5;;;;;;;;;16;16
410480;4,1048E+12;Masculino;Médio Completo;Sem formação profissional;Sem Vínculo;Família Acolhedora;01/08/2022;4104808;Paraná;Região Sul;Cascavel;2100,831;PR;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Médio;Outros vínculos não permanentes;;1;;;;;;;;;;Outros vínculos não permanentes;46;30;;;;;;;;;;76;76
