IBGE,NU_IDENTIFICADOR,municipio,uf,data_implementacao_unidade,Latitude,Longitude,natureza_unidade,custo_manutencao,servico_regulamentado,ano_implementacao_servico,subsidio_valor_mensal,subsidio_itens_manutencao,subsidio_mobiliario_transporte,subsidio_isencao_imposto_taxa,subsidio_outros,subsidio_nao_repassa,subsidio_outros_quais,fam_aceita_vinculo_irmaos,qtd_criancas_acolhidas,qtd_criancas_acolhidas_12meses,qtd_masc_0_2,qtd_masc_3_5,qtd_masc_6_11,qtd_masc_12_13,qtd_masc_14_15,qtd_masc_16_17,qtd_masc_acima_18,qtd_masc_total,qtd_fem_0_2,qtd_fem_3_5,qtd_fem_6_11,qtd_fem_12_13,qtd_fem_14_15,qtd_fem_16_17,qtd_fem_acima_18,qtd_refugiados_imigrantes,qtd_venezuelanos,qtd_criancas_tempo_servico_menos_1mes,qtd_criancas_tempo_servico_1_3meses,qtd_criancas_tempo_servico_4_6meses,qtd_criancas_tempo_servico_7_12meses,qtd_criancas_tempo_servico_13_18meses,qtd_criancas_tempo_servico_19_24meses,qtd_criancas_tempo_servico_25_48meses,qtd_criancas_tempo_servico_49_72meses,qtd_criancas_tempo_mais_72meses,qtd_criancas_deficiencia,qtd_criancas_transt_sofri_psiquico,qtd_criancas_necessidade_especial,qtd_adoles_socioeducativo,qtd_criancas_traj_de_rua,qtd_criancas_indigenas,qtd_criancas_outros_povos_trad,qtd_criancas_dependencia_drogas,qtd_criancas_gestantes,qtd_criancas_pretas,qtd_criancas_pardas,qtd_criancas_brancas,qtd_criancas_amarelas,qtd_criancas_raca_indigenas,qtd_motivo_entrega_voluntaria_adocao,qtd_motivo_orfandade,qtd_motivo_abandono,qtd_motivo_pais_usuarios,qtd_motivo_pais_com_deficiencia,qtd_motivo_pais_transt_sofri_psiquicos,qtd_motivo_pais_ausentes_doenca,qtd_motivo_pais_prisao_ou_internacao,qtd_motivo_violencia_domestica_fisica,qtd_motivo_violencia_domestica_psicologica,qtd_motivo_abuso_sex_intrafamiliar,qtd_motivo_exploracao_sex,qtd_motivo_conflito_familiar,qtd_motivo_exploracao_trabalho,qtd_motivo_pais_cond_especif_saude,qtd_motivo_pais_s_condicoes_depend_quim,qtd_motivo_ameaca_morte,qtd_motivo_situacao_rua,qtd_motivo_negligencia_familia,qtd_motivo_fam_situacao_rua,qtd_motivo_fam_moradia_insalubre,qtd_motivo_fam_carencia_rec_materiais,qtd_oriundos_pbf,qtd_oriundos_fam_menos_1sm,divulgacao_outdoors_busdoors,divulgacao_materiais_grande_circ,divulgacao_radio_tv_impressa,divulgacao_eventos_palestras,divulgacao_redes_sociais,divulgacao_articulacao_liderancas,divulgacao_outros,divulgacao_nao_faz,divulgacao_outros_quais,ch_capacitacao_inicial,selecao_fam_reunioes,selecao_fam_analise_doc,selecao_fam_entrevistas,selecao_fam_visitas_domiciliares,selecao_fam_outros,selecao_fam_nao_faz,selecao_fam_outros_quais,capac_ini_conti_fam_encontros_grupos,capac_ini_conti_fam_encontros_indivi,capac_ini_conti_fam_paletras,capac_ini_conti_fam_rodas_conversa,capac_ini_conti_fam_outros,capac_ini_conti_fam_nao_faz,capac_ini_conti_fam_outros_quais,acompanhamento_fam_aprox_supervi,acompanhamento_fam_visitas_domicil,acompanhamento_fam_aten_psicoss,acompanhamento_fam_contato_tel,acompanhamento_fam_outros,acompanhamento_fam_outros_quais,ativi_sistematicas_atend_psicosso_indivi,ativi_sistematicas_escuta_qualific,ativi_sistematicas_acompanh_escolar,ativi_sistematicas_acompanh_saude,ativi_sistematicas_encaminhc_docs,ativi_sistematicas_encaminhc_qualif_prof,ativi_sistematicas_identifi_fam_nat_exten,ativi_sistematicas_viabili_encon_fam_ori,ativi_sistematicas_constr_plano_acomp_fam_ori,ativi_sistematicas_atend_psicosso_indiv_fam_ori,ativi_sistematicas_reunioes_fam_ori,ativi_sistematicas_entrevis_fam_ori,ativi_sistematicas_visi_domic_fam_ori,ativi_sistematicas_genograma_ecomapa,ativi_sistematicas_relat_trimes_judic,ativi_sistematicas_estudo_caso,ativi_sistematicas_encaminhc_rede,ativi_sistematicas_discuss_casos_rede,ativi_sistematicas_outros,ativi_sistematicas_nao_faz,ativi_sistematicas_outros_quais,retorno_fam_ori_fam_ado_judic_informa_decisoes,retorno_fam_ori_fam_ado_judic_nao_informa_decisoes,retorno_fam_ori_fam_ado_tempo_prepar_suficiente,retorno_fam_ori_fam_ado_tempo_prepar_insuficiente,freq_acompanh_fam_acolhedora,qtd_fam_processo_habilitacao,qtd_fam_aptas_ou_acolhendo,num_atual_fam_suficiente,imovel_sede_saf,espaco_fisico_sala_atendimento,espaco_fisico_espaco_reunioes,espaco_fisico_sala_equip_tec,espaco_fisico_sala_coord_adm,espaco_fisico_area_recepcao,espaco_fisico_copa,equipamentos_veiculo_exclusivo,equipamentos_veiculo_compartilhado,equipamentos_acervo_bibliog,equipamentos_mater_pedago,equipamentos_tel_fixo,equipamentos_cel,equipamentos_impressora,equipamentos_de_som,equipamentos_proj_imagens,equipamentos_bebedouro,equipamentos_comput_internet,equipamentos_qtd_comput_internet,equipe_tec_exclusiva_saf,coordenador_saf_situacao,capaci_equipe_tec_saf_presencial,capaci_equipe_tec_saf_ead,capaci_equipe_tec_saf_nao_faz,capaci_equipe_tec_saf_presencial_qtd,capaci_equipe_tec_saf_ead_qtd,IBGE7,nome_da_uf,Regiao,Município
110011,"1,10011E+12",JARU,RO,29/03/2023,-10.439,-62.466,Governamental,,"Sim, por lei",2023,,,,,,Sim,,"Sim, acolhem sempre que há demanda",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,Não,Não,Não,Não,Sim,Não,Não,Não,,20,Sim,Sim,Sim,Sim,Não,Não,,Sim,Sim,Sim,Sim,Não,Não,,Sim,Sim,Sim,Sim,Não,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,,Não,Não,Sim,Não,Semanalmente,0,0,Não sabe informar,Imóvel compartilhado com outro serviço ou órgão,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,4.0,Não há profissionais exclusivas(os) do serviço,Exerce concomitantemente a função de coordenador(a) deste serviço e de outro serviço socioassistencial,Não,Não,Não,,,1100114,Rondonia,Região Norte,Jaru
110012,"1,10012E+12",JI-PARANA,RO,02/01/2022,-10.876.486.067.028.500,-619.596.290.588.379,Governamental,,"Sim, por lei",2022,1320,Sim,Sim,Não,Não,Não,,"Sim, acolhem sempre que há demanda",5,7.0,0,1,2,0,1,0,0,4,1,0,0,0,0,0,0,0.0,0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1.0,0.0,3.0,0.0,0.0,0,0,1,3.0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,,6,Sim,Sim,Sim,Sim,Sim,Não,"encontro, formação, atendimento individual e  familiar",Sim,Sim,Não,Sim,Não,Não,,Não,Sim,Sim,Sim,Não,,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,,Não,Não,Sim,Não,Quinzenalmente,2,5,Sim,Imóvel exclusivo para o SFA,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,3.0,Todas(os) as(os) profissionais são exclusivos,Exerce exclusivamente a função de coordenador(a) deste serviço,Sim,Sim,Não,3.0,4.0,1100122,Rondonia,Região Norte,Ji-Paraná
110020,"1,1002E+12",PORTO VELHO,RO,13/12/2017,-915.359.258.390.788,-643.068.141.967.022,Governamental,,"Sim, por lei",2018,1320,,,,,Sim,,"Sim, acolhem sempre que há demanda",5,8.0,0,0,0,2,0,0,0,2,1,0,0,0,1,1,0,2.0,0,,,,,,,,,,0,1,0,0,0,0,0,0,0,2.0,3.0,0.0,0.0,0.0,0,0,2,1.0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,,12,Sim,Sim,Sim,Sim,Não,Não,,Sim,Sim,Sim,Não,Não,Não,,Sim,Sim,Sim,Sim,Não,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,,Sim,Não,Sim,Não,Semanalmente,15,8,Não,Imóvel compartilhado com CREAS,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,4.0,Todas(os) as(os) profissionais são exclusivos,Exerce exclusivamente a função de coordenador(a) deste serviço,Sim,Sim,Não,5.0,5.0,1100205,Rondonia,Região Norte,Porto Velho
120040,"1,2004E+12",RIO BRANCO,AC,17/05/2013,-9.948.852.227.687.540,-6.785.414.814.949.030,Governamental,,"Sim, por lei",2013,1320,,,,,Sim,,"Sim, acolhem sempre que há demanda",9,7.0,0,0,0,0,0,0,0,0,2,2,5,0,0,0,0,0.0,0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,9.0,0.0,0.0,0.0,0,0,0,5.0,0,0,0,3.0,0.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,,4,Sim,Sim,Sim,Sim,Não,Não,,Não,Sim,Sim,Sim,Não,Não,,Sim,Sim,Sim,Sim,Não,,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,,Sim,Não,Sim,Não,Semanalmente,0,4,Não,Imóvel exclusivo para o SFA,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,1.0,Todas(os) as(os) profissionais são exclusivos,Exerce exclusivamente a função de coordenador(a) deste serviço,Não,Não,Sim,,,1200401,Acre,Região Norte,Rio Branco
130170,"1,3017E+12",HUMAITA,AM,28/12/2020,-7.519.639.784.496.380,-63.031.353.950.500.400,Governamental,,"Sim, por lei",2021,1320,Não,Não,Sim,Não,Não,,"Sim, acolhem sempre que há demanda",1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,Não,Não,Sim,Não,Sim,Não,Não,Não,,0,Não,Sim,Sim,Sim,Não,Não,,,,,,,Sim,,Não,Sim,Sim,Não,Não,,Não,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,,Sim,Não,Não,Não,Mensalmente,0,1,Não,O SFA não possui sede,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,1.0,Não há profissionais exclusivas(os) do serviço,Exerce exclusivamente a função de coordenador(a) deste serviço,Não,Não,Sim,,,1301704,Amazonas,Região Norte,Humaitá
130260,"1,3026E+12",MANAUS,AM,12/10/1996,-31.206.144,-599.385.206,Não Governamental/Organização da Sociedade Civil,"20439,53","Sim, por lei",2017,1350,Sim,Sim,Não,Não,Não,,"Sim, acolhem sempre que há demanda",17,40.0,1,1,3,0,2,1,0,8,4,1,3,0,1,0,0,0.0,0,0.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2,4,0,0,0,0,0,0,0,0.0,6.0,11.0,0.0,0.0,0,0,7,0.0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,2.0,2,4,0.0,0.0,17.0,Não,Não,Sim,Sim,Sim,Sim,Não,Não,,21,Sim,Sim,Sim,Sim,Não,Não,,Sim,Não,Sim,Sim,Não,Não,,Não,Sim,Sim,Sim,Não,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,,Sim,Não,Sim,Não,Mensalmente,2,18,Não,Imóvel compartilhado com outro serviço ou órgão,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,2.0,Todas(os) as(os) profissionais são exclusivos,Acumula as funções de coordenadora(or) com outra atividade,Sim,Sim,Não,3.0,3.0,1302603,Amazonas,Região Norte,Manaus
130260,"1,3026E+12",MANAUS,AM,26/11/1996,-308.312.754.963.856,-6.000.594.341.741.810,Não Governamental/Organização da Sociedade Civil,,"Sim, por lei",1996,1350,Sim,Sim,Não,Não,Não,,"Sim, acolhem algumas vezes",19,21.0,2,2,3,0,0,0,0,7,1,3,5,2,1,0,0,0.0,0,7.0,0.0,0.0,2.0,1.0,2.0,4.0,3.0,0.0,1,4,0,0,5,0,0,0,0,5.0,4.0,4.0,6.0,0.0,1,1,5,1.0,0,1,0,0.0,0.0,0,2,0,0,1,0,0,0,2,2.0,0,2,1.0,0.0,16.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,,12,Sim,Sim,Sim,Sim,Não,Não,,Sim,Sim,Sim,Sim,Não,Não,,Sim,Sim,Sim,Sim,Não,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,,Sim,Não,Sim,Não,Mensalmente,0,20,Sim,Imóvel compartilhado com outro serviço ou órgão,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,4.0,Todas(os) as(os) profissionais são exclusivos,Acumula as funções de coordenadora(or) com outra atividade,Sim,Sim,Não,3.0,3.0,1302603,Amazonas,Região Norte,Manaus
130330,"1,3033E+12",NOVO ARIPUANA,AM,04/06/2021,-5.118.525.469.761.480,-60.373.177.528.381.300,Governamental,,"Sim, por lei",2021,660,,,,,Sim,,"Sim, acolhem sempre que há demanda",1,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0,Não,Não,Sim,Não,Não,Sim,Não,Não,,8,Sim,Sim,Sim,Sim,Não,Não,,Sim,Não,Sim,Sim,Não,Não,,Sim,Sim,Sim,Sim,Não,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,,Sim,Não,Sim,Não,Mensalmente,0,4,Sim,Imóvel compartilhado com CREAS,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,1.0,Não há profissionais exclusivas(os) do serviço,Acumula as funções de coordenadora(or) e de técnica(o) neste serviço,Sim,Não,Não,2.0,,1303304,Amazonas,Região Norte,Novo Aripuanã
130340,"1,3034E+12",PARINTINS,AM,01/10/2017,-26.331.842.224.955.400,-56.737.711.429.595.900,Governamental,,"Sim, por lei",2017,,,,,,Sim,,Não acolhem,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,Sim,,,,,,,Sim,,,,,,,,,,,,Não,,,,,,,,,,,,,,,Sim,,,,,,Semanalmente,0,0,Não sabe informar,Imóvel compartilhado com CREAS,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,1.0,Todas(os) as(os) profissionais são exclusivos,Exerce exclusivamente a função de coordenador(a) deste serviço,Não,Sim,Não,,4.0,1303403,Amazonas,Região Norte,Parintins
130356,"1,30356E+12",RIO PRETO DA EVA,AM,02/06/2023,-2.699,-59.7,Governamental,,"Sim, por lei",2023,700,,,,,Sim,,"Sim, acolhem algumas vezes",4,0.0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,4.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,0,2.0,0,0,0.0,,4.0,Não,Não,Sim,Sim,Sim,Não,Não,Não,,0,Sim,Sim,Sim,Sim,Não,Não,,Não,Sim,Não,Não,Não,Não,,Sim,Sim,Sim,Não,Não,,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,,,,,,Mensalmente,2,2,Sim,O SFA não possui sede,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,1.0,Parte da equipe é exclusiva,Não há coordenadora(or) neste serviço,Sim,Não,Não,2.0,,1303569,Amazonas,Região Norte,Rio Preto da Eva
