IBGE,NU_IDENTIFICADOR,rf_sexo,rf_escolaridade,rf_profissao,rf_vinculo,Nome_UF,Código Município Completo,Nome_Município
291270,"2,9127E+12",Feminino,Médio Completo,Profissional de nível médio,Outro vínculo não permanente,Bahia,291270,Ibirapitanga
311910,"3,1191E+12",Feminino,Fundamental Completo,Sem formação profissional,Voluntária(o),Minas Gerais,311910,Corinto
330350,"3,3035E+12",Feminino,Médio Completo,Profissional de nível médio,Servidor(a) Estatutário(a),Rio de Janeiro,330350,Nova Iguaçu
351040,"3,5104E+12",Feminino,Superior Completo,Profissional de nível médio,Voluntária(o),São Paulo,351040,Capivari
353440,"3,5344E+12",Feminino,Especialização,Advogada(o),Sem Vínculo,São Paulo,353440,Osasco
355030,"3,5503E+12",Feminino,Superior Incompleto,Outra formação de nível superior,Voluntária(o),São Paulo,355030,São Paulo
410180,"4,1018E+12",Feminino,Médio Completo,Profissional de nível médio,Sem Vínculo,Paraná,410180,Araucária
410480,"4,1048E+12",Masculino,Médio Completo,Sem formação profissional,Sem Vínculo,Paraná,410480,Cascavel
410480,"4,1048E+12",Feminino,Fundamental Incompleto,Sem formação profissional,Sem Vínculo,Paraná,410480,Cascavel
410480,"4,1048E+12",Feminino,Médio Completo,Sem formação profissional,Sem Vínculo,Paraná,410480,Cascavel
410480,"4,1048E+12",Feminino,Sem Escolaridade,Sem formação profissional,Sem Vínculo,Paraná,410480,Cascavel
410840,"4,1084E+12",Feminino,Superior Incompleto,Sem formação profissional,Sem Vínculo,Paraná,410840,Francisco Beltrão
410940,"4,1094E+12",Feminino,Médio Completo,Sem formação profissional,Sem Vínculo,Paraná,410940,Guarapuava
412350,"4,1235E+12",Feminino,Fundamental Incompleto,Sem formação profissional,Voluntária(o),Paraná,412350,Santa Helena
421970,"4,2197E+12",Feminino,Fundamental Incompleto,Sem formação profissional,Sem Vínculo,Santa Catarina,421970,Xaxim
530010,"5,3001E+12",Feminino,Superior Completo,Outra formação de nível superior,Voluntária(o),Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Distrito Federal,530010,Brasília
530010,"5,3001E+12",Masculino,Superior Completo,Outra formação de nível superior,Sem Vínculo,Distrito Federal,530010,Brasília
530010,"5,3001E+12",Feminino,Superior Completo,Psicóloga(o),Voluntária(o),Distrito Federal,530010,Brasília
